USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
TN	47167	01639795	Tipton County	1180026939	32703276	455.611	12.627	35.498763	-89.747145                                                                                                                 
TN	47169	01648581	Trousdale County	296143586	5960709	114.342	2.301	36.39303	-86.156691                                                                                                                  
TN	47171	01648582	Unicoi County	481902934	825726	186.064	0.319	36.100129	-82.418218                                                                                                                     
TN	47173	01648583	Union County	579077905	61005196	223.583	23.554	36.28414	-83.836088                                                                                                                    
TN	47175	01648584	Van Buren County	708142395	2893456	273.415	1.117	35.699234	-85.458409                                                                                                                 
TN	47177	01639796	Warren County	1120619165	3524883	432.673	1.361	35.67825	-85.777343                                                                                                                    
TN	47179	01639797	Washington County	845605993	8635313	326.49	3.334	36.295665	-82.495037                                                                                                                 
TN	47181	01639798	Wayne County	1901333937	4023436	734.109	1.553	35.242847	-87.819843                                                                                                                    
TN	47183	01639799	Weakley County	1503107797	3707114	580.353	1.431	36.303596	-88.721194                                                                                                                  
TN	47185	01639800	White County	975592109	7113368	376.678	2.746	35.927049	-85.455785                                                                                                                     
TN	47187	01639801	Williamson County	1509607199	3017704	582.863	1.165	35.894807	-86.898068                                                                                                               
TN	47189	01639802	Wilson County	1478548412	32071810	570.871	12.383	36.149527	-86.291242                                                                                                                 
