name,population,white_pop,percent_white,pop_div_by_target,pop_div_target_remainder_percent,num_districts_assigned
"Loudon County, Tennessee",54886,47353,0.8627518857267792,0.07147814158626158,0.07147814158626158,0.0
"Macon County, Tennessee",25216,22795,0.9039895304568528,0.03283884448200219,0.03283884448200219,0.0
"Marshall County, Tennessee",34318,28704,0.8364123783437263,0.044692396293359415,0.044692396293359415,0.0
"Monroe County, Tennessee",46250,41678,0.901145945945946,0.06023146245608348,0.06023146245608348,0.0
"Morgan County, Tennessee",21035,19130,0.9094366531970526,0.02739392027597224,0.02739392027597224,0.0
"Perry County, Tennessee",8366,7748,0.9261295720774564,0.010895057619623663,0.010895057619623663,0.0
"Putnam County, Tennessee",79854,67940,0.8508027149547925,0.10399401519931006,0.10399401519931006,0.0
"Robertson County, Tennessee",72803,58467,0.8030850377044902,0.09481148456627558,0.09481148456627558,0.0
"Sevier County, Tennessee",98380,85656,0.8706647692620452,0.12812046003090796,0.12812046003090796,0.0
"Stewart County, Tennessee",13657,12463,0.9125723072417076,0.017785536924599613,0.017785536924599613,0.0
"Tipton County, Tennessee",60970,45400,0.7446285058225357,0.0794013462907548,0.0794013462907548,0.0
"Union County, Tennessee",19802,18770,0.9478840521159478,0.02578818204444033,0.02578818204444033,0.0
"Washington County, Tennessee",133001,113998,0.8571213750272554,0.1732074537972229,0.1732074537972229,0.0
"White County, Tennessee",27351,25018,0.9147014734379,0.035619259019164094,0.035619259019164094,0.0
"Anderson County, Tennessee",77123,66863,0.8669657560001556,0.10043742873514652,0.10043742873514652,0.0
"Benton County, Tennessee",15864,14487,0.9131996974281392,0.02065971719790937,0.02065971719790937,0.0
"Bledsoe County, Tennessee",14913,13258,0.8890230000670556,0.0194212280996232,0.0194212280996232,0.0
"Bradley County, Tennessee",108620,89555,0.8244798379672252,0.14145603139415758,0.14145603139415758,0.0
"Campbell County, Tennessee",39272,37267,0.9489458138113668,0.0511439998610878,0.0511439998610878,0.0
"Carroll County, Tennessee",28440,23997,0.8437763713080169,0.03703746577840031,0.03703746577840031,0.0
"Carter County, Tennessee",56356,52173,0.9257754276385832,0.07339252536594683,0.07339252536594683,0.0
"Chester County, Tennessee",17341,14614,0.8427426330661438,0.022583217090831217,0.022583217090831217,0.0
"Claiborne County, Tennessee",32043,30175,0.9417033361420593,0.04172965949146558,0.04172965949146558,0.0
"Cocke County, Tennessee",35999,33028,0.91746992972027,0.0468815657720335,0.0468815657720335,0.0
"Coffee County, Tennessee",57889,49686,0.8582977767796991,0.07538895416476145,0.07538895416476145,0.0
"Cumberland County, Tennessee",61145,56870,0.930084226020116,0.07962924912166973,0.07962924912166973,0.0
"DeKalb County, Tennessee",20080,17763,0.8846115537848606,0.0261502219701223,0.0261502219701223,0.0
"Dickson County, Tennessee",54315,47609,0.8765350271564024,0.0707345272065335,0.0707345272065335,0.0
"Dyer County, Tennessee",36801,28611,0.7774516996820738,0.047926011888569264,0.047926011888569264,0.0
"Fayette County, Tennessee",41990,27857,0.6634198618718743,0.05468365640066909,0.05468365640066909,0.0
"Fentress County, Tennessee",18489,17633,0.9537022013088864,0.024078259661633027,0.024078259661633027,0.0
"Franklin County, Tennessee",42774,37256,0.8709963996820499,0.05570466108316789,0.05570466108316789,0.0
"Gibson County, Tennessee",50429,38280,0.7590870332546749,0.06567378205833155,0.06567378205833155,0.0
"Giles County, Tennessee",30346,25170,0.8294338627825744,0.03951965318253642,0.03951965318253642,0.0
"Grainger County, Tennessee",23527,21934,0.9322905597823776,0.030639256588200565,0.030639256588200565,0.0
"Greene County, Tennessee",70152,63841,0.9100382027597216,0.09135908225338743,0.09135908225338743,0.0
"Grundy County, Tennessee",13529,12671,0.9365806785423904,0.017618842282558993,0.017618842282558993,0.0
"Hamblen County, Tennessee",64499,51243,0.794477433758663,0.08399716966389036,0.08399716966389036,0.0
"Hamilton County, Tennessee",366207,254803,0.6957895397957986,0.47691206857632357,0.47691206857632357,0.0
"Hancock County, Tennessee",6662,6391,0.9593215250675472,0.008675935197457907,0.008675935197457907,0.0
"Hardeman County, Tennessee",25462,14073,0.5527059932448355,0.033159210747174005,0.033159210747174005,0.0
"Hardin County, Tennessee",26831,24468,0.9119302299578844,0.03494206203587408,0.03494206203587408,0.0
"Hawkins County, Tennessee",56721,53148,0.9370074575554028,0.07386786555614079,0.07386786555614079,0.0
"Haywood County, Tennessee",17864,7695,0.4307545902373488,0.023264320979794063,0.023264320979794063,0.0
"Henderson County, Tennessee",27842,24079,0.8648444795632497,0.036258689247616785,0.036258689247616785,0.0
"Henry County, Tennessee",32199,27529,0.8549644398894376,0.041932818586452585,0.041932818586452585,0.0
"Hickman County, Tennessee",24925,22351,0.8967301905717151,0.03245987463173797,0.03245987463173797,0.0
"Houston County, Tennessee",8283,7557,0.9123505976095616,0.010786966562675448,0.010786966562675448,0.0
"Humphreys County, Tennessee",18990,17270,0.9094260136914164,0.024730712908995145,0.024730712908995145,0.0
"Jefferson County, Tennessee",54683,49561,0.9063328639613774,0.07121377430240028,0.07121377430240028,0.0
"Johnson County, Tennessee",17948,16233,0.904446177847114,0.02337371433863322,0.02337371433863322,0.0
"Lake County, Tennessee",7005,4825,0.6887937187723054,0.009122624746051132,0.009122624746051132,0.0
"Lauderdale County, Tennessee",25143,15144,0.6023147595752297,0.032743776443963396,0.032743776443963396,0.0
"Lewis County, Tennessee",12582,11654,0.9262438404069304,0.016385562391836594,0.016385562391836594,0.0
"Lincoln County, Tennessee",35319,30195,0.8549222797927462,0.045996000486192706,0.045996000486192706,0.0
"McMinn County, Tennessee",53276,46564,0.8740145656580824,0.06938143554184441,0.06938143554184441,0.0
"McNairy County, Tennessee",25866,22983,0.88854094177685,0.03368534071111471,0.03368534071111471,0.0
"Madison County, Tennessee",98823,54249,0.5489511550954738,0.1286973797685954,0.1286973797685954,0.0
"Marion County, Tennessee",28837,25872,0.8971807053438291,0.03755447962910442,0.03755447962910442,0.0
"Maury County, Tennessee",100974,77837,0.7708618060094677,0.1314986311360124,0.1314986311360124,0.0
